File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF065BCG	bigWig	bigWig		signal p-value	GRCh38	ENCSR860GPM	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27me3-human	DNA						2019-09-11	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF535IMT/, /files/ENCFF065MNN/	1635875588	ENCODE Processing Pipeline	4c48e6c1cc506904a9c81764891dd85a		https://www.encodeproject.org/files/ENCFF065BCG/@@download/ENCFF065BCG.bigWig				released	s3://encode-public/2019/07/24/c82dd187-8888-4274-8996-3edc344e1067/ENCFF065BCG.bigWig	https://datasetencode.blob.core.windows.net/dataset/2019/07/24/c82dd187-8888-4274-8996-3edc344e1067/ENCFF065BCG.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived			
ENCFF762ABV	bigWig	bigWig		signal p-value	hg19	ENCSR860GPM	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27me3-human	DNA						2019-09-11	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF730UVR/, /files/ENCFF349BOR/	1612820330	ENCODE Processing Pipeline	35e05e52fe53f75f9973abaa684a2419		https://www.encodeproject.org/files/ENCFF762ABV/@@download/ENCFF762ABV.bigWig				released	s3://encode-public/2019/07/24/3576ecc4-5741-45a3-a6f4-9eb6eeca6891/ENCFF762ABV.bigWig	https://datasetencode.blob.core.windows.net/dataset/2019/07/24/3576ecc4-5741-45a3-a6f4-9eb6eeca6891/ENCFF762ABV.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived			
ENCFF381FEO	bigWig	bigWig		fold change over control	GRCh38	ENCSR860GPM	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27me3-human	DNA						2019-09-11	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF535IMT/, /files/ENCFF065MNN/	1615014138	ENCODE Processing Pipeline	a4b446afcd0359fa76cfa2d691bcc228		https://www.encodeproject.org/files/ENCFF381FEO/@@download/ENCFF381FEO.bigWig				released	s3://encode-public/2019/07/24/59629be5-d959-466a-94ee-02cc9bbe6127/ENCFF381FEO.bigWig	https://datasetencode.blob.core.windows.net/dataset/2019/07/24/59629be5-d959-466a-94ee-02cc9bbe6127/ENCFF381FEO.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived			
ENCFF213TKC	bigWig	bigWig		fold change over control	hg19	ENCSR860GPM	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27me3-human	DNA						2019-09-11	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF730UVR/, /files/ENCFF349BOR/	1664842673	ENCODE Processing Pipeline	0176f6625c221cbb5908ed0263cb7477		https://www.encodeproject.org/files/ENCFF213TKC/@@download/ENCFF213TKC.bigWig				released	s3://encode-public/2019/07/24/1354adc1-0ea5-4a03-995a-ae46a9ddb035/ENCFF213TKC.bigWig	https://datasetencode.blob.core.windows.net/dataset/2019/07/24/1354adc1-0ea5-4a03-995a-ae46a9ddb035/ENCFF213TKC.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived			
ENCFF946BCX	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR860GPM	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27me3-human	DNA						2019-09-11	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF885WYY/	331377	ENCODE Processing Pipeline	d4d46620a723a31964703e728fd5465a		https://www.encodeproject.org/files/ENCFF946BCX/@@download/ENCFF946BCX.bed.gz				released	s3://encode-public/2019/07/24/0d39077b-5cda-4593-8544-6c91fe72a2ae/ENCFF946BCX.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2019/07/24/0d39077b-5cda-4593-8544-6c91fe72a2ae/ENCFF946BCX.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived			
ENCFF672ZMS	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	hg19	ENCSR860GPM	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27me3-human	DNA						2019-09-11	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF977XUO/	798530	ENCODE Processing Pipeline	ca11bf30d0337692ebabfbf304b15788		https://www.encodeproject.org/files/ENCFF672ZMS/@@download/ENCFF672ZMS.bigBed				released	s3://encode-public/2019/07/24/4a5aa2e7-4f4c-4774-8afe-2512bd23d56f/ENCFF672ZMS.bigBed	https://datasetencode.blob.core.windows.net/dataset/2019/07/24/4a5aa2e7-4f4c-4774-8afe-2512bd23d56f/ENCFF672ZMS.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived			
ENCFF346VUH	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR860GPM	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27me3-human	DNA						2019-09-11	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF946BCX/	836025	ENCODE Processing Pipeline	f5dcac6ac497821c844261d67e8b8317		https://www.encodeproject.org/files/ENCFF346VUH/@@download/ENCFF346VUH.bigBed				released	s3://encode-public/2019/07/24/f0cfedae-712c-4357-bcff-61b21837bd58/ENCFF346VUH.bigBed	https://datasetencode.blob.core.windows.net/dataset/2019/07/24/f0cfedae-712c-4357-bcff-61b21837bd58/ENCFF346VUH.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived			
ENCFF977XUO	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	hg19	ENCSR860GPM	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27me3-human	DNA						2019-09-11	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF138GWZ/	318500	ENCODE Processing Pipeline	bc3f13e4668132501f818fa210a009f4		https://www.encodeproject.org/files/ENCFF977XUO/@@download/ENCFF977XUO.bed.gz				released	s3://encode-public/2019/07/24/3848af93-da70-45d0-bcaf-e31335fa22fb/ENCFF977XUO.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2019/07/24/3848af93-da70-45d0-bcaf-e31335fa22fb/ENCFF977XUO.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived			
ENCFF245BCA	fastq	fastq		reads		ENCSR860GPM	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27me3-human	DNA						2019-09-11	ENCODE		sonication (generic), none	200-600	1	1_1	76		single-ended					1448428273	Bradley Bernstein, Broad	c789f5d6a4953764a4d6fd785dfdc82e	SRA:SRR10838536	https://www.encodeproject.org/files/ENCFF245BCA/@@download/ENCFF245BCA.fastq.gz		Illumina HiSeq 2500		released	s3://encode-public/2017/12/06/b020a32b-363c-4490-a535-1b6fa64bd422/ENCFF245BCA.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2017/12/06/b020a32b-363c-4490-a535-1b6fa64bd422/ENCFF245BCA.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing controlled_by		
ENCFF235TTD	fastq	fastq		reads		ENCSR860GPM	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27me3-human	DNA						2019-09-11	ENCODE		sonication (generic), none	200-600	1	1_1	76		single-ended					1503701936	Bradley Bernstein, Broad	4bb97f141caa951c3fc56bb8b77009cf	SRA:SRR10838537	https://www.encodeproject.org/files/ENCFF235TTD/@@download/ENCFF235TTD.fastq.gz		Illumina HiSeq 2500		released	s3://encode-public/2017/12/06/7c1cd4f0-03ca-4f3a-9965-12930cd56dca/ENCFF235TTD.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2017/12/06/7c1cd4f0-03ca-4f3a-9965-12930cd56dca/ENCFF235TTD.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing controlled_by		
ENCFF801SBJ	bam	bam		unfiltered alignments	GRCh38	ENCSR860GPM	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27me3-human	DNA						2019-09-11	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2		76					/files/ENCFF110MCL/, /files/ENCFF406AIK/, /files/ENCFF538AQK/, /files/ENCFF245BCA/, /files/ENCFF235TTD/	4210057445	ENCODE Processing Pipeline	41e7773086f59c7fe2ab646ad832b144		https://www.encodeproject.org/files/ENCFF801SBJ/@@download/ENCFF801SBJ.bam				released	s3://encode-public/2020/09/21/e7fa99a2-a38c-45f1-8ee1-b0d85daa1830/ENCFF801SBJ.bam	https://datasetencode.blob.core.windows.net/dataset/2020/09/21/e7fa99a2-a38c-45f1-8ee1-b0d85daa1830/ENCFF801SBJ.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF149XIX	bam	bam		alignments	GRCh38	ENCSR860GPM	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27me3-human	DNA						2019-09-11	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2		76					/files/ENCFF110MCL/, /files/ENCFF406AIK/, /files/ENCFF538AQK/, /files/ENCFF245BCA/, /files/ENCFF235TTD/	3516969444	ENCODE Processing Pipeline	8ae9d81d9873f68effb1345f3ff1a105		https://www.encodeproject.org/files/ENCFF149XIX/@@download/ENCFF149XIX.bam				released	s3://encode-public/2020/09/21/4414dcf1-b5b2-4139-9dda-dbe3d4449c61/ENCFF149XIX.bam	https://datasetencode.blob.core.windows.net/dataset/2020/09/21/4414dcf1-b5b2-4139-9dda-dbe3d4449c61/ENCFF149XIX.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF853GRR	bigWig	bigWig		signal p-value	GRCh38	ENCSR860GPM	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27me3-human	DNA						2019-09-11	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF149XIX/, /files/ENCFF076ONX/	1518858182	ENCODE Processing Pipeline	2195c038e01ea6b00c9ebd6561453aa3		https://www.encodeproject.org/files/ENCFF853GRR/@@download/ENCFF853GRR.bigWig				released	s3://encode-public/2020/09/21/64234677-1185-4a21-bd8f-5c4e025bc974/ENCFF853GRR.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/09/21/64234677-1185-4a21-bd8f-5c4e025bc974/ENCFF853GRR.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF819AWJ	bigWig	bigWig		fold change over control	GRCh38	ENCSR860GPM	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27me3-human	DNA						2019-09-11	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF149XIX/, /files/ENCFF076ONX/	1627919321	ENCODE Processing Pipeline	7eaf056d5192b19a8efb1c2b7687281a		https://www.encodeproject.org/files/ENCFF819AWJ/@@download/ENCFF819AWJ.bigWig				released	s3://encode-public/2020/09/21/5c3aaf5b-6f62-4dce-a139-4cc771f337a4/ENCFF819AWJ.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/09/21/5c3aaf5b-6f62-4dce-a139-4cc771f337a4/ENCFF819AWJ.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF038LOI	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR860GPM	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27me3-human	DNA						2019-09-11	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF076ONX/, /files/ENCFF149XIX/, /files/ENCFF356LFX/	319331	ENCODE Processing Pipeline	f436257b89982dc9e6f81a0e807d45c4		https://www.encodeproject.org/files/ENCFF038LOI/@@download/ENCFF038LOI.bed.gz				released	s3://encode-public/2020/09/21/80877b07-9fad-44a9-9e78-6902f686087e/ENCFF038LOI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/21/80877b07-9fad-44a9-9e78-6902f686087e/ENCFF038LOI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF542HVK	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR860GPM	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27me3-human	DNA						2019-09-11	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF038LOI/	807801	ENCODE Processing Pipeline	7f1235f26f7be035468978b5e81fe391		https://www.encodeproject.org/files/ENCFF542HVK/@@download/ENCFF542HVK.bigBed				released	s3://encode-public/2020/09/21/1d9676b1-5088-498f-9e4c-2952c623fb70/ENCFF542HVK.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/09/21/1d9676b1-5088-498f-9e4c-2952c623fb70/ENCFF542HVK.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF668DFB	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR172LVU	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K4me3-human	DNA						2019-08-01	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF541NVY/	1695117	ENCODE Processing Pipeline	7a5be179e997510df7f88892f75b027a		https://www.encodeproject.org/files/ENCFF668DFB/@@download/ENCFF668DFB.bigBed				released	s3://encode-public/2020/09/22/bfdd33f2-0588-485d-baf0-b0b9e0312930/ENCFF668DFB.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/09/22/bfdd33f2-0588-485d-baf0-b0b9e0312930/ENCFF668DFB.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
