File_accession	File_format	File_type	File_format_type	Output_type	File_assembly	Experiment_accession	Assay	Donor(s)	Biosample_term_id	Biosample_term_name	Biosample_type	Biosample_organism	Biosample_treatments	Biosample_treatments_amount	Biosample_treatments_duration	Biosample_genetic_modifications_methods	Biosample_genetic_modifications_categories	Biosample_genetic_modifications_targets	Biosample_genetic_modifications_gene_targets	Biosample_genetic_modifications_site_coordinates	Biosample_genetic_modifications_zygosity	Experiment_target	Library_made_from	Library_depleted_in	Library_extraction_method	Library_lysis_method	Library_crosslinking_method	Library_strand_specific	Experiment_date_released	Project	RBNS_protein_concentration	Library_fragmentation_method	Library_size_range	Biological_replicate(s)	Technical_replicate(s)	Read_length	Mapped_read_length	Run_type	Paired_end	Paired_with	Index_of	Derived_from	Size	Lab	md5sum	dbxrefs	File_download_URL	Genome_annotation	Platform	Controlled_by	File_Status	s3_uri	Azure_URL	File_analysis_title	File_analysis_status	Audit_WARNING	Audit_NOT_COMPLIANT	Audit_ERROR
ENCFF430VEQ	bed_narrowPeak	bed	narrowPeak	IDR_thresholded_peaks	GRCh38	ENCSR851SBY	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo_sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1							/files/ENCFF356LFX/,_/files/ENCFF858TZP/	1114050	ENCODE_Processing_Pipeline	bddb3ec0b4551319360b88c13b55fede		https://www.encodeproject.org/files/ENCFF430VEQ/@@download/ENCFF430VEQ.bed.gz				released	s3://encode-public/2021/02/25/8b898697-c591-472a-b20a-a23a1b5f9bfa/ENCFF430VEQ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/25/8b898697-c591-472a-b20a-a23a1b5f9bfa/ENCFF430VEQ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4_v1.9.1_GRCh38	released	mild_to_moderate_bottlenecking,_moderate_number_of_reproducible_peaks,_moderate_library_complexity	low_FRiP_score	
ENCFF139JJY	bigBed_narrowPeak	bigBed	narrowPeak	IDR_thresholded_peaks	GRCh38	ENCSR851SBY	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo_sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1							/files/ENCFF430VEQ/	2746386	ENCODE_Processing_Pipeline	1c1a319a93127ef097795966d44e0ee3		https://www.encodeproject.org/files/ENCFF139JJY/@@download/ENCFF139JJY.bigBed				released	s3://encode-public/2021/02/25/3463e1e2-4e0a-4a78-8c8d-551be8ed659f/ENCFF139JJY.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/02/25/3463e1e2-4e0a-4a78-8c8d-551be8ed659f/ENCFF139JJY.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4_v1.9.1_GRCh38	released	mild_to_moderate_bottlenecking,_moderate_number_of_reproducible_peaks,_moderate_library_complexity	low_FRiP_score	
ENCFF028CAI	bed_narrowPeak	bed	narrowPeak	pseudoreplicated_peaks	GRCh38	ENCSR851SBY	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo_sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1							/files/ENCFF356LFX/,_/files/ENCFF858TZP/	2604987	ENCODE_Processing_Pipeline	60a1926a8abb58c8943f5a66a9215d62		https://www.encodeproject.org/files/ENCFF028CAI/@@download/ENCFF028CAI.bed.gz				released	s3://encode-public/2021/02/25/f0c1fad4-79f9-4173-992e-42dc746d2051/ENCFF028CAI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/25/f0c1fad4-79f9-4173-992e-42dc746d2051/ENCFF028CAI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4_v1.9.1_GRCh38	released	mild_to_moderate_bottlenecking,_moderate_number_of_reproducible_peaks,_moderate_library_complexity	low_FRiP_score	
ENCFF762IFP	bigBed_narrowPeak	bigBed	narrowPeak	pseudoreplicated_peaks	GRCh38	ENCSR851SBY	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo_sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1							/files/ENCFF028CAI/	6390157	ENCODE_Processing_Pipeline	f6a97407b6ba4697108e74451fb3eaf4		https://www.encodeproject.org/files/ENCFF762IFP/@@download/ENCFF762IFP.bigBed				released	s3://encode-public/2021/02/25/4c185617-5c6e-48b2-9816-011d22463561/ENCFF762IFP.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/02/25/4c185617-5c6e-48b2-9816-011d22463561/ENCFF762IFP.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4_v1.9.1_GRCh38	released	mild_to_moderate_bottlenecking,_moderate_number_of_reproducible_peaks,_moderate_library_complexity	low_FRiP_score	
ENCFF332SCG	fastq	fastq		reads		ENCSR086OGH	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid_colon	tissue	Homo_sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1	100		paired-ended	2	/files/ENCFF591BAY/			4829455575	Michael_Snyder,_Stanford	46c728282f436846dda2e6fd06a05d0f	SRA:SRR14305482	https://www.encodeproject.org/files/ENCFF332SCG/@@download/ENCFF332SCG.fastq.gz		Illumina_HiSeq_4000		released	s3://encode-public/2016/04/26/9d9bcafc-8027-44b0-bc78-7d680e1af4fd/ENCFF332SCG.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2016/04/26/9d9bcafc-8027-44b0-bc78-7d680e1af4fd/ENCFF332SCG.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			mild_to_moderate_bottlenecking,_moderate_number_of_reproducible_peaks,_moderate_library_complexity	low_FRiP_score	
ENCFF591BAY	fastq	fastq		reads		ENCSR086OGH	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid_colon	tissue	Homo_sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1	100		paired-ended	1	/files/ENCFF332SCG/			4677656905	Michael_Snyder,_Stanford	615445218c4d845e93fea578a7230422	SRA:SRR14305482	https://www.encodeproject.org/files/ENCFF591BAY/@@download/ENCFF591BAY.fastq.gz		Illumina_HiSeq_4000		released	s3://encode-public/2016/04/26/ec15f652-2fde-4deb-b54d-6b4ce5e6a7db/ENCFF591BAY.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2016/04/26/ec15f652-2fde-4deb-b54d-6b4ce5e6a7db/ENCFF591BAY.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			mild_to_moderate_bottlenecking,_moderate_number_of_reproducible_peaks,_moderate_library_complexity	low_FRiP_score	
ENCFF591QAG	bigWig	bigWig		signal_p-value	GRCh38	ENCSR086OGH	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid_colon	tissue	Homo_sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1							/files/ENCFF778VJL/	1229149264	Anshul_Kundaje,_Stanford	4a83f2ec8ed07194aae16fb2125d50b3		https://www.encodeproject.org/files/ENCFF591QAG/@@download/ENCFF591QAG.bigWig				released	s3://encode-public/2016/12/22/a9441946-951f-41f9-a235-8222a5d73587/ENCFF591QAG.bigWig	https://datasetencode.blob.core.windows.net/dataset/2016/12/22/a9441946-951f-41f9-a235-8222a5d73587/ENCFF591QAG.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab_custom_GRCh38	archived	mild_to_moderate_bottlenecking,_moderate_number_of_reproducible_peaks,_moderate_library_complexity	low_FRiP_score	
ENCFF778VJL	bam	bam		alignments	GRCh38	ENCSR086OGH	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid_colon	tissue	Homo_sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1		101					/files/ENCFF591BAY/,_/files/ENCFF332SCG/	6014216214	Anshul_Kundaje,_Stanford	4f04671a6fc6aaf7a1f52ce381e0bbc6		https://www.encodeproject.org/files/ENCFF778VJL/@@download/ENCFF778VJL.bam				released	s3://encode-public/2016/12/22/d18a1e9c-ef63-4d63-9a7c-cb8836d02f39/ENCFF778VJL.bam	https://datasetencode.blob.core.windows.net/dataset/2016/12/22/d18a1e9c-ef63-4d63-9a7c-cb8836d02f39/ENCFF778VJL.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab_custom_GRCh38	archived	mild_to_moderate_bottlenecking,_moderate_number_of_reproducible_peaks,_moderate_library_complexity	low_FRiP_score	
ENCFF997HHO	bigWig	bigWig		fold_change_over_control	GRCh38	ENCSR086OGH	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid_colon	tissue	Homo_sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1							/files/ENCFF778VJL/	1396147459	Anshul_Kundaje,_Stanford	689b9a5828c53a594c75f6534a324a6c		https://www.encodeproject.org/files/ENCFF997HHO/@@download/ENCFF997HHO.bigWig				released	s3://encode-public/2016/12/22/2d0c959d-4abc-49e1-b7a8-739bddd97aad/ENCFF997HHO.bigWig	https://datasetencode.blob.core.windows.net/dataset/2016/12/22/2d0c959d-4abc-49e1-b7a8-739bddd97aad/ENCFF997HHO.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab_custom_GRCh38	archived	mild_to_moderate_bottlenecking,_moderate_number_of_reproducible_peaks,_moderate_library_complexity	low_FRiP_score	
ENCFF049WJI	bigWig	bigWig		fold_change_over_control	GRCh38	ENCSR086OGH	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid_colon	tissue	Homo_sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1							/files/ENCFF182ZGK/	1442938137	ENCODE_Processing_Pipeline	c179a0d9c939eefc012267902905f65d		https://www.encodeproject.org/files/ENCFF049WJI/@@download/ENCFF049WJI.bigWig				released	s3://encode-public/2021/02/25/d4b6163d-f6c3-41ed-bf90-cd2270617924/ENCFF049WJI.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/02/25/d4b6163d-f6c3-41ed-bf90-cd2270617924/ENCFF049WJI.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4_v1.9.1_GRCh38	released	mild_to_moderate_bottlenecking,_moderate_number_of_reproducible_peaks,_moderate_library_complexity	low_FRiP_score	
ENCFF189YSM	bed_idr_ranked_peak	bed	idr_ranked_peak	IDR_ranked_peaks	GRCh38	ENCSR086OGH	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid_colon	tissue	Homo_sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1							/files/ENCFF182ZGK/	5824121	ENCODE_Processing_Pipeline	5e5b640fd3c54d6fc9504d103f1532b7		https://www.encodeproject.org/files/ENCFF189YSM/@@download/ENCFF189YSM.bed.gz				released	s3://encode-public/2021/02/25/575596e6-f176-432d-96ba-81fda37b7ec3/ENCFF189YSM.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/25/575596e6-f176-432d-96ba-81fda37b7ec3/ENCFF189YSM.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4_v1.9.1_GRCh38	released	mild_to_moderate_bottlenecking,_moderate_number_of_reproducible_peaks,_moderate_library_complexity	low_FRiP_score	
ENCFF697MUB	bed_narrowPeak	bed	narrowPeak	IDR_thresholded_peaks	GRCh38	ENCSR086OGH	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid_colon	tissue	Homo_sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1							/files/ENCFF356LFX/,_/files/ENCFF182ZGK/	1381456	ENCODE_Processing_Pipeline	685cfcb082f5f5b2f79b59b768af6f59		https://www.encodeproject.org/files/ENCFF697MUB/@@download/ENCFF697MUB.bed.gz				released	s3://encode-public/2021/02/25/e1e14e86-f3f6-4ff8-b189-092ffe36440f/ENCFF697MUB.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/25/e1e14e86-f3f6-4ff8-b189-092ffe36440f/ENCFF697MUB.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4_v1.9.1_GRCh38	released	mild_to_moderate_bottlenecking,_moderate_number_of_reproducible_peaks,_moderate_library_complexity	low_FRiP_score	
ENCFF628ARL	bigWig	bigWig		signal_p-value	GRCh38	ENCSR086OGH	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid_colon	tissue	Homo_sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1							/files/ENCFF182ZGK/	1066372356	ENCODE_Processing_Pipeline	ec51ecf40b45a9d87a60f322aff8b669		https://www.encodeproject.org/files/ENCFF628ARL/@@download/ENCFF628ARL.bigWig				released	s3://encode-public/2021/02/25/28217bb8-30cb-4592-b735-f8294abf142d/ENCFF628ARL.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/02/25/28217bb8-30cb-4592-b735-f8294abf142d/ENCFF628ARL.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4_v1.9.1_GRCh38	released	mild_to_moderate_bottlenecking,_moderate_number_of_reproducible_peaks,_moderate_library_complexity	low_FRiP_score	
ENCFF469LGT	bigBed_narrowPeak	bigBed	narrowPeak	IDR_thresholded_peaks	GRCh38	ENCSR086OGH	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid_colon	tissue	Homo_sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1							/files/ENCFF697MUB/	3156933	ENCODE_Processing_Pipeline	66023deb2c6ae471403eb3cf45492a07		https://www.encodeproject.org/files/ENCFF469LGT/@@download/ENCFF469LGT.bigBed				released	s3://encode-public/2021/02/25/67cca503-66b3-46d7-880d-f7e0aa3e3255/ENCFF469LGT.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/02/25/67cca503-66b3-46d7-880d-f7e0aa3e3255/ENCFF469LGT.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4_v1.9.1_GRCh38	released	mild_to_moderate_bottlenecking,_moderate_number_of_reproducible_peaks,_moderate_library_complexity	low_FRiP_score	
ENCFF270JNZ	bed_narrowPeak	bed	narrowPeak	pseudoreplicated_peaks	GRCh38	ENCSR086OGH	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid_colon	tissue	Homo_sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1							/files/ENCFF356LFX/,_/files/ENCFF182ZGK/	2760924	ENCODE_Processing_Pipeline	527acde68e0be423b391318d071243cb		https://www.encodeproject.org/files/ENCFF270JNZ/@@download/ENCFF270JNZ.bed.gz				released	s3://encode-public/2021/02/25/4b3e56ad-49c2-40c7-99b6-e98b9ae378cf/ENCFF270JNZ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/25/4b3e56ad-49c2-40c7-99b6-e98b9ae378cf/ENCFF270JNZ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4_v1.9.1_GRCh38	released	mild_to_moderate_bottlenecking,_moderate_number_of_reproducible_peaks,_moderate_library_complexity	low_FRiP_score	
